# S-57 Attribute (ATTL) → S-101 Feature Catalogue attribute code.
#
# ATTL numeric codes per IHO S-57 Appendix A "Use of the Object Catalogue
# for ENC" (Edition 3.1). Verified against the IHO Attribute Catalogue and
# the GDAL S-57 driver's reference table.
#
# Notes:
# - Some S-57 attributes have no flat S-101 equivalent and require complex
#   attributes (e.g. OBJNAM/NOBJNM → featureName with sub-attributes); those
#   are intentionally omitted from this mapping until a later iteration.
# - Listed-value codes (enums) are not remapped here; S-57 numeric codes are
#   passed through as strings, which matches S-101 numeric codes for many
#   but not all enumerations.
#
# Format: attl,s57Acronym,s101Code
13,CATCAM,categoryOfCardinalMark
36,CATLAM,categoryOfLateralMark
37,CATLIT,categoryOfLight
38,CATMFA,categoryOfMarineFarmCulture
42,CATOBS,categoryOfObstruction
57,CATROD,categoryOfRoad
71,CATWRK,categoryOfWreck
75,COLOUR,colour
76,COLPAT,colourPattern
77,COMCHA,communicationChannel
81,CONDTN,condition
82,CONRAD,radarConspicuous
83,CONVIS,visualProminence
87,DRVAL1,depthRangeMinimumValue
88,DRVAL2,depthRangeMaximumValue
93,EXPSOU,expositionOfSounding
112,NATCON,natureOfConstruction
113,NATSUR,natureOfSurface
133,SCAMIN,scaleMinimum
149,STATUS,status
174,VALDCO,valueOfDepthContour
179,VALSOU,valueOfSounding
181,VERCLR,verticalClearanceValue
182,VERCCL,verticalClearanceClosed
183,VERCOP,verticalClearanceOpen
184,VERCSA,verticalClearanceSafe
186,VERLEN,verticalLength
187,WATLEV,waterLevelEffect
