# S-57 Object Class (OBJL) → S-101 Feature Catalogue code.
#
# OBJL numeric codes per IHO S-57 Appendix A "Use of the Object Catalogue
# for ENC" (Edition 3.1). Verified against the IHO Object Catalogue and
# the GDAL S-57 driver's reference table.
#
# v1 covers a breadth-first subset of the most common feature classes. Add
# rows here to extend coverage; unrecognised OBJL values cause the feature
# to be skipped during translation.
#
# Format: objl,s57Acronym,s101Code
2,AIRARE,AirportAirfield
3,ACHBRT,AnchorBerth
4,ACHARE,AnchorageArea
5,BCNCAR,CardinalBeacon
6,BCNISD,IsolatedDangerBeacon
7,BCNLAT,LateralBeacon
8,BCNSAW,SafeWaterBeacon
9,BCNSPP,SpecialPurposeGeneralBeacon
11,BRIDGE,Bridge
13,BUAARE,BuiltUpArea
14,BOYCAR,CardinalBuoy
15,BOYINB,InstallationBuoy
16,BOYISD,IsolatedDangerBuoy
17,BOYLAT,LateralBuoy
18,BOYSAW,SafeWaterBuoy
19,BOYSPP,SpecialPurposeGeneralBuoy
30,COALNE,Coastline
42,DEPARE,DepthArea
43,DEPCNT,DepthContour
46,DRGARE,DredgedArea
51,FAIRWY,Fairway
71,LNDARE,LandArea
75,LIGHTS,LightAllAround
85,NAVLNE,NavigationLine
86,OBSTRN,Obstruction
106,RAILWY,Railway
112,RESARE,RestrictedArea
116,ROADWY,Road
129,SOUNDG,Sounding
153,UWTROC,UnderwaterAwashRock
159,WRECKS,Wreck
